Nombre Comercial,Razón social,Formato,Especialización
ALSUPER,OPERADORA FUTURAMA S.A. DE C.V.,Autoservicio,
CASA LEY,CASA LEY S.A.P.I. DE C.V.,Autoservicio,
CENTRO COMERCIAL CRUZ AZUL,CENTRO COMERCIAL CRUZ AZUL S.A. DE C.V.,Autoservicio,
CHEDRAUI,TIENDAS CHEDRAUI S.A. DE C.V.,Autoservicio,
LA COMER,COMERCIAL CITY FRESKO S. DE R.L. DE C.V,Autoservicio,
LA MISION,LA MISION SUPERMERCADOS S.A. DE C.V.,Autoservicio,
MERZA,ABARROTERA DEL DUERO S.A. DE C.V.,Autoservicio,
PITICÓ,PRODUCTOS DE CONSUMO Z S.A. DE C.V.,Autoservicio,
SORIANA,TIENDAS SORIANA S.A. DE C.V.,Autoservicio,
S-MART,OPERADORA DE CIUDAD JUÁREZ S.A. DE C.V.,Autoservicio,
SU BODEGA,ALMACENES IBARRA S.A. DE C.V.,Autoservicio,
SU PLAZA,COMPRAS PARA EL HOGAR S.A DE C.V.,Autoservicio,
SÚPER DEL NORTE,TIENDAS DE AUTOSERVICIO DEL NORTE S.A. DE C.V.,Autoservicio,
SÚPER GUTIÉRREZ,SÚPER GUTIÉRREZ S.A. DE C.V.,Autoservicio,
SÚPER WILLY'S,SÚPER WILLY'S S.A. DE C.V.,Autoservicio,
SÚPER KOMPRAS,TIENDAS GARCÉS S.A. DE C.V.,Autoservicio,
SÚPER SAN FRANCISCO DE ASÍS,SÚPER SAN FRANCISCO DE ASÍS S.A. DE C.V.,Autoservicio,
SUPERMERCADOS ARAMBURO,CARLOS ARAMBURO S.A. DE C.V.,Autoservicio,
WALDOS DOLAR MART,WALDOS DOLAR MART DE MÉXICO S. DE R.L. DE C.V.,Autoservicio,
CALIMAX,CENTRAL DETALLISTA S.A. DE C.V.,Autoservicio,
HEB,SUPERMERCADOS INTERNACIONALES HEB S.A. DE C.V.,Autoservicio,
SMART & FINAL,SMART & FINAL DEL NOROESTE S.A. DE C.V.,Autoservicio,
MÁS BODEGA Y LOGÍSTICA,MÁS BODEGA Y LOGÍSTICA S.A. DE C.V.,Autoservicio,
