Categoría: Todas las categorías

Semana,Organización Soriana: (México),Chedraui: (México),HEB: (México)
2019-10-27,38,29,11
2019-11-03,34,32,9
2019-11-10,70,64,13
2019-11-17,60,54,12
2019-11-24,43,36,12
2019-12-01,42,38,11
2019-12-08,51,42,13
2019-12-15,61,51,15
2019-12-22,70,59,15
2019-12-29,62,59,14
2020-01-05,45,41,11
2020-01-12,36,31,9
2020-01-19,35,29,8
2020-01-26,38,34,10
2020-02-02,33,31,9
2020-02-09,36,30,9
2020-02-16,34,29,8
2020-02-23,36,29,9
2020-03-01,34,28,8
2020-03-08,35,28,9
2020-03-15,43,35,13
2020-03-22,41,39,14
2020-03-29,47,45,14
2020-04-05,52,48,16
2020-04-12,53,49,14
2020-04-19,47,39,12
2020-04-26,58,48,14
2020-05-03,52,51,14
2020-05-10,49,50,14
2020-05-17,53,56,14
2020-05-24,58,70,15
2020-05-31,60,56,12
2020-06-07,97,50,12
2020-06-14,100,60,13
2020-06-21,84,48,13
2020-06-28,96,53,14
2020-07-05,75,49,14
2020-07-12,84,52,14
2020-07-19,80,48,13
2020-07-26,77,51,14
2020-08-02,60,52,14
2020-08-09,50,48,13
2020-08-16,46,45,12
2020-08-23,40,41,12
2020-08-30,41,41,11
2020-09-06,38,40,10
2020-09-13,40,43,10
2020-09-20,32,34,10
2020-09-27,35,36,10
2020-10-04,35,34,11
2020-10-11,35,34,11
2020-10-18,35,35,10
2020-10-25,37,35,10
2020-11-01,42,37,11
2020-11-08,85,72,15
2020-11-15,74,65,13
2020-11-22,41,40,13
2020-11-29,45,46,14
2020-12-06,50,46,14
2020-12-13,58,62,15
2020-12-20,84,85,20
2020-12-27,68,79,19
2021-01-03,63,68,14
2021-01-10,39,42,10
2021-01-17,34,40,12
2021-01-24,39,39,12
2021-01-31,39,41,12
2021-02-07,38,39,12
2021-02-14,35,36,10
2021-02-21,34,36,10
2021-02-28,35,38,11
2021-03-07,33,33,10
2021-03-14,35,36,12
2021-03-21,34,35,11
2021-03-28,46,47,15
2021-04-04,39,37,13
2021-04-11,34,35,11
2021-04-18,34,33,11
2021-04-25,36,37,12
2021-05-02,35,36,11
2021-05-09,31,43,11
2021-05-16,34,44,11
2021-05-23,40,48,12
2021-05-30,45,40,11
2021-06-06,58,33,10
2021-06-13,72,41,11
2021-06-20,63,34,11
2021-06-27,67,36,11
2021-07-04,61,33,11
2021-07-11,60,37,11
2021-07-18,54,34,11
2021-07-25,59,37,12
2021-08-01,41,35,11
2021-08-08,38,37,11
2021-08-15,36,37,11
2021-08-22,36,36,12
2021-08-29,36,36,11
2021-09-05,32,34,9
2021-09-12,35,36,10
2021-09-19,34,31,9
2021-09-26,35,34,10
2021-10-03,31,30,10
2021-10-10,31,31,11
2021-10-17,32,30,10
2021-10-24,34,31,11
2021-10-31,35,36,12
2021-11-07,57,61,16
2021-11-14,48,51,13
2021-11-21,35,36,12
2021-11-28,40,40,13
2021-12-05,43,40,13
2021-12-12,50,49,16
2021-12-19,73,73,21
2021-12-26,58,63,19
2022-01-02,56,58,16
2022-01-09,37,38,13
2022-01-16,38,32,11
2022-01-23,36,33,10
2022-01-30,37,35,10
2022-02-06,35,37,11
2022-02-13,36,35,10
2022-02-20,37,34,11
2022-02-27,40,35,11
2022-03-06,38,34,9
2022-03-13,38,36,9
2022-03-20,39,33,10
2022-03-27,41,37,10
2022-04-03,39,36,10
2022-04-10,44,42,12
2022-04-17,40,36,10
2022-04-24,42,36,10
2022-05-01,38,36,11
2022-05-08,35,37,11
2022-05-15,37,36,9
2022-05-22,50,48,12
2022-05-29,56,44,12
2022-06-05,50,34,11
2022-06-12,63,41,11
2022-06-19,59,35,11
2022-06-26,66,39,12
2022-07-03,57,35,11
2022-07-10,53,43,11
2022-07-17,61,45,12
2022-07-24,56,43,12
2022-07-31,49,40,13
2022-08-07,42,37,11
2022-08-14,40,36,12
2022-08-21,40,36,13
2022-08-28,40,37,11
2022-09-04,34,32,9
2022-09-11,39,37,11
2022-09-18,35,31,10
2022-09-25,38,34,10
2022-10-02,34,30,10
2022-10-09,32,30,10
2022-10-16,36,31,14
2022-10-23,37,32,11
2022-10-30,40,35,12
2022-11-06,36,37,11
2022-11-13,66,62,14
2022-11-20,50,45,12
2022-11-27,41,38,12
2022-12-04,41,39,14
2022-12-11,52,50,14
2022-12-18,66,72,17
2022-12-25,57,68,17
2023-01-01,60,60,15
2023-01-08,40,36,11
2023-01-15,34,34,11
2023-01-22,34,34,11
2023-01-29,37,35,11
2023-02-05,37,38,11
2023-02-12,37,36,10
2023-02-19,34,34,10
2023-02-26,38,35,11
