Categoría: Todas las categorías

Semana,El Puerto de Liverpool: (México),El Palacio de Hierro: (México),Coppel: (México)
2019-10-27,35,9,35
2019-11-03,38,9,38
2019-11-10,98,20,63
2019-11-17,74,15,56
2019-11-24,55,10,43
2019-12-01,71,11,49
2019-12-08,68,12,52
2019-12-15,72,12,64
2019-12-22,71,14,65
2019-12-29,61,12,58
2020-01-05,47,10,47
2020-01-12,40,9,43
2020-01-19,36,10,39
2020-01-26,36,9,35
2020-02-02,35,9,35
2020-02-09,35,9,34
2020-02-16,31,7,34
2020-02-23,29,6,33
2020-03-01,31,8,34
2020-03-08,32,7,35
2020-03-15,31,8,36
2020-03-22,27,7,36
2020-03-29,39,8,42
2020-04-05,45,10,53
2020-04-12,51,11,59
2020-04-19,41,10,50
2020-04-26,73,12,57
2020-05-03,86,13,61
2020-05-10,46,11,60
2020-05-17,61,16,72
2020-05-24,62,16,74
2020-05-31,52,12,59
2020-06-07,75,12,61
2020-06-14,68,12,65
2020-06-21,49,12,58
2020-06-28,46,12,59
2020-07-05,50,14,61
2020-07-12,54,14,64
2020-07-19,51,14,58
2020-07-26,51,14,58
2020-08-02,54,14,61
2020-08-09,52,13,56
2020-08-16,48,12,59
2020-08-23,41,11,49
2020-08-30,38,12,52
2020-09-06,37,10,47
2020-09-13,40,9,47
2020-09-20,37,8,44
2020-09-27,50,8,42
2020-10-04,53,11,43
2020-10-11,36,11,43
2020-10-18,37,11,46
2020-10-25,33,10,46
2020-11-01,41,11,51
2020-11-08,100,19,90
2020-11-15,77,17,80
2020-11-22,49,11,60
2020-11-29,49,11,63
2020-12-06,68,11,64
2020-12-13,74,13,76
2020-12-20,70,17,95
2020-12-27,57,16,77
2021-01-03,51,14,77
2021-01-10,37,11,52
2021-01-17,37,10,53
2021-01-24,36,10,49
2021-01-31,37,11,49
2021-02-07,38,10,47
2021-02-14,34,8,45
2021-02-21,28,8,46
2021-02-28,30,8,48
2021-03-07,31,7,46
2021-03-14,32,8,49
2021-03-21,29,6,46
2021-03-28,34,8,58
2021-04-04,31,7,50
2021-04-11,29,8,46
2021-04-18,31,8,49
2021-04-25,48,9,49
2021-05-02,40,9,48
2021-05-09,32,7,48
2021-05-16,31,8,51
2021-05-23,47,14,60
2021-05-30,34,10,48
2021-06-06,45,8,44
2021-06-13,39,8,52
2021-06-20,35,9,47
2021-06-27,33,9,46
2021-07-04,33,9,47
2021-07-11,36,10,51
2021-07-18,35,10,50
2021-07-25,33,9,47
2021-08-01,32,9,51
2021-08-08,32,8,57
2021-08-15,32,7,55
2021-08-22,31,8,49
2021-08-29,31,8,44
2021-09-05,29,7,43
2021-09-12,31,8,44
2021-09-19,29,7,43
2021-09-26,41,10,42
2021-10-03,36,10,41
2021-10-10,30,10,41
2021-10-17,30,10,42
2021-10-24,30,8,43
2021-10-31,38,8,47
2021-11-07,71,18,73
2021-11-14,57,14,67
2021-11-21,40,10,53
2021-11-28,41,10,56
2021-12-05,51,11,54
2021-12-12,54,12,65
2021-12-19,57,14,86
2021-12-26,48,15,69
2022-01-02,42,13,60
2022-01-09,33,9,45
2022-01-16,29,9,40
2022-01-23,29,9,39
2022-01-30,30,9,42
2022-02-06,29,9,42
2022-02-13,27,7,41
2022-02-20,26,6,40
2022-02-27,28,7,42
2022-03-06,28,7,41
2022-03-13,28,7,40
2022-03-20,28,7,42
2022-03-27,26,6,40
2022-04-03,27,6,45
2022-04-10,33,7,49
2022-04-17,30,8,49
2022-04-24,44,8,46
2022-05-01,40,8,46
2022-05-08,32,8,47
2022-05-15,30,8,45
2022-05-22,49,12,53
2022-05-29,33,10,47
2022-06-05,35,8,42
2022-06-12,37,9,44
2022-06-19,31,9,42
2022-06-26,30,8,42
2022-07-03,29,9,41
2022-07-10,33,9,44
2022-07-17,33,10,46
2022-07-24,37,11,44
2022-07-31,36,10,46
2022-08-07,32,9,46
2022-08-14,33,8,49
2022-08-21,32,9,44
2022-08-28,29,8,41
2022-09-04,28,8,38
2022-09-11,30,8,41
2022-09-18,27,7,39
2022-09-25,30,10,39
2022-10-02,41,10,40
2022-10-09,37,10,42
2022-10-16,29,9,42
2022-10-23,26,8,38
2022-10-30,29,7,42
2022-11-06,39,8,47
2022-11-13,66,18,68
2022-11-20,51,14,62
2022-11-27,33,10,44
2022-12-04,44,10,48
2022-12-11,51,12,57
2022-12-18,51,14,74
2022-12-25,47,15,64
2023-01-01,45,13,62
2023-01-08,32,10,42
2023-01-15,31,10,41
2023-01-22,30,10,41
2023-01-29,30,9,40
2023-02-05,26,9,39
2023-02-12,26,8,38
2023-02-19,25,7,36
2023-02-26,24,8,38
2023-03-05,25,7,37
2023-03-12,26,7,39
2023-03-19,25,7,39
2023-03-26,25,7,38
2023-04-02,26,7,45
2023-04-09,26,7,42
2023-04-16,26,8,39
2023-04-23,38,9,40
2023-04-30,36,10,46
2023-05-07,30,10,44
2023-05-14,26,8,43
2023-05-21,27,8,42
2023-05-28,47,12,53
2023-06-04,42,9,43
2023-06-11,36,8,46
2023-06-18,29,9,45
2023-06-25,30,8,41
2023-07-02,30,8,44
2023-07-09,32,9,43
2023-07-16,32,10,44
2023-07-23,32,10,44
2023-07-30,29,10,47
2023-08-06,27,9,47
2023-08-13,28,8,46
2023-08-20,27,11,44
2023-08-27,25,8,40
2023-09-03,23,8,39
2023-09-10,23,8,38
2023-09-17,23,7,37
2023-09-24,25,9,38
2023-10-01,37,10,37
2023-10-08,31,9,38
2023-10-15,26,9,41
2023-10-22,24,9,38
2023-10-29,25,10,39
2023-11-05,33,9,46
2023-11-12,55,16,63
2023-11-19,52,16,64
2023-11-26,38,10,50
2023-12-03,48,10,51
2023-12-10,51,11,59
2023-12-17,48,12,69
2023-12-24,46,12,69
2023-12-31,37,11,61
2024-01-07,28,8,47
2024-01-14,24,7,42
2024-01-21,25,7,41
2024-01-28,25,7,36
2024-02-04,24,7,36
2024-02-11,24,6,33
2024-02-18,21,5,31
2024-02-25,21,7,34
2024-03-03,22,6,35
2024-03-10,23,5,32
2024-03-17,24,5,36
2024-03-24,24,6,43
2024-03-31,24,6,36
2024-04-07,21,6,32
2024-04-14,24,7,62
2024-04-21,34,6,59
2024-04-28,34,7,49
2024-05-05,26,7,43
2024-05-12,36,9,45
2024-05-19,33,7,39
2024-05-26,22,5,32
2024-06-02,28,5,31
2024-06-09,31,6,33
2024-06-16,22,6,30
2024-06-23,24,6,31
2024-06-30,24,6,32
2024-07-07,27,7,34
2024-07-14,28,7,35
2024-07-21,28,7,35
2024-07-28,28,6,34
2024-08-04,20,6,34
2024-08-11,22,7,39
2024-08-18,22,6,37
2024-08-25,14,5,32
2024-09-01,10,7,31
2024-09-08,9,6,31
2024-09-15,10,6,32
2024-09-22,16,6,29
2024-09-29,30,8,32
2024-10-06,31,9,31
2024-10-13,25,8,32
2024-10-20,24,7,30
2024-10-27,23,8,28
