CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,EMPRESA_ESTRATO_MICRO,EMPRESA_ESTRATO_PEQUE,EMPRESA_ESTRATO_MED,EMPRESA_ESTRATO_GRA,A130,A129,H000B,H000C,I000B,I000C,PERSONAL_NO_REM,K100A,K200A,K310A,K411A,K412A,K500A,K640A,K810A,K820A,K910A,K999A,L210A,L220A,L999A,M100A,M310A,M971A,M200A,M500A,M999A,TASA_ROT_1_10,TASA_ROT_11_20,TASA_ROT_21_30,TASA_ROT_31_40,TASA_ROT_MAS_40,Q100A,Q200A,Q300A,Q400A,Q900A,Q100C,Q200C,Q300C,Q400C,Q900C,Q100D,Q200D,Q300D,Q400D,Q900D,IND_H000_0_A_10_MICRO,IND_H000_11_A_30_PEQ,IND_H000_31_A_100_MED,IND_H000_101_A_MAS_GRA,IND_I000_0_A_10_MICRO,IND_I000_11_A_30_PEQ,IND_I000_31_A_100_MED,IND_I000_101_A_MAS_GRA,IND_J000A_0_A_10_MICRO,IND_J000A_11_A_30_PEQ,IND_J000A_31_A_100_MED,IND_J000A_101_A_MAS_GRA,IND_K000A_0_A_10_MICRO,IND_K000A_11_A_30_PEQ,IND_K000A_31_A_100_MED,IND_K000A_101_A_MAS_GRA,IND_M000A_0_A_10_MICRO,IND_M000A_11_A_30_PEQ,IND_M000A_31_A_100_MED,IND_M000A_101_A_MAS_GRA,IND_N000A_0_A_10_MICRO,IND_N000A_11_A_30_PEQ,IND_N000A_31_A_100_MED,IND_N000A_101_A_MAS_GRA,IND_Q000A_0_A_10_MICRO,IND_Q000A_11_A_30_PEQ,IND_Q000A_31_A_100_MED,IND_Q000A_101_A_MAS_GRA,ESTATUS
46,Comercio al por menor,2013,2260,929,1175,1533,2128175,17796,2259317,2432092,482742,399366,2604950,3734949402,2580658,563024,20769241,97582043,80432558,97407199,17788284,10620973,9038374,198863124,24215801,17700468,44377405,4834404708,1572786,155020457,13240140,6824255,29573435,2382,934,399,226,4335,85019097,374337567,105399798,61019705,117527453,5928849,18786445,10742329,5656250,8899121,961910,450074,5225281,255004,639185,3662314,225663,156133,647299,50609,53835,46447,731217,66844544,18609661,15276132,59463830,1395050978,522302207,379677506,1973563962,1817995525,576546672,438353300,2207740161, , , , ,413595990,36311931,32902855,260492775,Cifras definitivas
461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",2013,288,84,108,124,1054398,5494,857822,1076116,36813,21018,1400082,708484878,82599,241233,6713902,16812691,9127921,6087350,586146,2398184,4186806,15844022,3975685,339756,4855668,865475807,340456,2988274,238869,985099,1241286,107,81,51,21,853,21072635,119954591,33046257,3330013,13641513,624380,584207,710972,364357,271181,176167,120172,110430,70152,103448,1845068,42369,23657,22844,11402,29867,2619,13943,25132162,3372312,1921029,2026351,498782776,182037487,41906537,47838836,575568817,190362062,47911591,57427292, , , , ,180581911,3969185,3185109,3308778,Cifras definitivas
4611,Comercio al por menor de abarrotes y alimentos,2013,177,69,83,105,992093,5136,791716,1028808,33062,18090,1321687,674818240,79217,240251,6364949,16267303,8243654,5285244,450359,2281558,4102338,15049848,3876897,152101,4735750,819161921,309850,2920010,234035,965384,948126,70,70,42,16,693,20597829,118016146,31984309,2987611,13017634,621406,486519,664328,222049,151412,176107,120172,107726,69903,102418,1743253,39556,20577,17138,10806,29743,2208,8395,24061048,3166640,1637813,1501491,478635131,179607078,36902143,38038508,551205237,187391634,41993410,43949018, , , , ,178243791,3741283,2723213,1895220,Cifras definitivas
4612,"Comercio al por menor de bebidas, hielo y tabaco",2013,111,15,25,19,62305,358,66106,47308,3751,2928,78395,33666638,3382,982,348953,545388,884267,802106,135787,116626,84468,794174,98788,187655,119918,46313886,30606,68264,4834,19715,293160,37,11,9,5,160,474806,1938445,1061948,342402,623879,2974,97688,46644,142308,119769,60,0,2704,249,1030,101815,2813,3080,5706,596,124,411,5548,1071114,205672,283216,524860,20147645,2430409,5004394,9800328,24363580,2970428,5918181,13478274, , , , ,2338120,227902,461896,1413558,Cifras definitivas
462,Comercio al por menor en tiendas de autoservicio y departamentales,2013,140,38,51,117,45859,816,168826,143785,232393,240190,35921,868768334,451293,67999,1918808,12071223,27817792,52645185,6708005,1269231,2102425,46975943,1431911,9700818,15451218,1087797323,520173,1699730,4624706,3752297,15096024,125,86,20,12,57,25141260,71537749,4259533,29013778,29601724,3287488,8851337,385430,2895434,5560477,305028,160545,139669,67913,252939,46528,5952,5395,254736,3511,403,1318,467351,685886,323810,376984,22800516,11389256,4891748,9511312,995003923,14036151,5680506,10822306,1082951289, , , , ,1780600,432571,348723,156992149,Cifras definitivas
4621,Comercio al por menor en tiendas de autoservicio,2013,135,35,48,95,43728,366,131628,102510,185512,171518,35921,725488004,437656,44410,1546734,10872010,21437870,41219766,3811064,643787,1958208,28964801,794236,9671373,10715578,867910601,295767,1695924,4283067,3669605,12008115,81,82,20,12,56,22213109,46978377,2817135,24525574,20043466,3095236,7366085,303686,2158655,4362344,304456,148920,75559,50321,175270,46522,5912,5110,176594,3511,390,1139,351990,685553,319612,347388,14644254,11386523,4831158,9128259,811078373,14031921,5608027,10355779,859867351, , , , ,1775278,426033,330911,114045439,Cifras definitivas
4622,Comercio al por menor en tiendas departamentales,2013,5,3,3,22,2131,450,37198,41275,46881,68672,0,143280330,13637,23589,372074,1199213,6379922,11425419,2896941,625444,144217,18011142,637675,29445,4735640,219886722,224406,3806,341639,82692,3087909,44,4,0,0,1,2928151,24559372,1442398,4488204,9558258,192252,1485252,81744,736779,1198133,572,11625,64110,17592,77669,6,40,285,78142,0,13,179,115361,333,4198,29596,8156262,2733,60590,383053,183925550,4230,72479,466527,223083938, , , , ,5322,6538,17812,42946710,Cifras definitivas
463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",2013,322,91,100,156,267869,728,167600,357142,21426,29878,305851,116200890,167613,29283,651148,2303878,10617598,4742839,1205342,876549,758574,10100625,738516,327465,1355673,196317737,181079,953207,41547,289453,265636,284,77,37,41,493,2582925,22151240,3997696,1713661,16383053,293397,207878,95667,82024,569555,407,18382,49669,3154,8708,450010,17649,11726,45357,4340,2647,3247,41070,8338929,1282994,1019999,3267076,59963754,10367693,9490351,67832532,84775455,13873441,12933593,86466166, , , , ,34344409,2083432,733294,9667429,Cifras definitivas
4631,"Comercio al por menor de productos textiles, excepto ropa",2013,73,34,31,17,26576,151,24746,40290,2126,1224,32947,14543791,1028,2260,43424,121136,372468,261001,46051,53223,36998,637664,51947,4778,222195,21616784,4729,766,2,8666,54657,84,18,11,7,86,159470,2622426,963840,280734,858009,4490,75005,11030,24065,63196,0,3013,1647,1976,1237,40687,3008,2076,19265,653,342,307,2048,441868,234404,175067,1082065,4830128,1810557,1910792,7567558,6341020,2506455,2361852,10476269, , , , ,3582080,225069,169763,907562,Cifras definitivas
4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",2013,136,33,43,91,191298,523,111389,244429,14545,21746,227236,68474392,166304,25627,405105,1512489,7480702,3532929,540812,554521,562538,6991485,520482,314641,699138,118995511,173422,837255,40746,258131,196897,130,37,15,14,229,2064119,13622914,2020972,977401,13132277,275673,99921,71804,45319,375461,8,10798,44503,803,4992,324214,9117,6177,16310,3082,1592,1631,29986,5468909,643966,588187,1346303,39072229,5104594,4883664,41186435,54343237,7051590,7114274,51992856, , , , ,22930058,1436693,353929,7096999,Cifras definitivas
4633,Comercio al por menor de calzado,2013,113,24,26,48,49995,54,31465,72423,4755,6908,45668,33182707,281,1396,202619,670253,2764428,948909,618479,268805,159038,2471476,166087,8046,434340,55705442,2928,115186,799,22656,14082,70,22,11,20,178,359336,5905900,1012884,455526,2392767,13234,32952,12833,12640,130898,399,4571,3519,375,2479,85109,5524,3473,9782,605,713,1309,9036,2428152,404624,256745,838708,16061397,3452542,2695895,19078539,24091198,4315396,3457467,23997041, , , , ,7832271,421670,209602,1662868,Cifras definitivas
464,Comercio al por menor de artículos para el cuidado de la salud,2013,102,35,45,107,99943,1518,137882,168554,21685,27464,97041,163562480,65887,22275,572534,1765157,4604298,2788079,1514344,805091,222660,9037278,313104,367984,2149340,225314662,144272,64197,309475,324612,1041541,112,26,22,2,159,3812817,9022626,2956726,1996553,4746243,345110,241437,44191,73880,309889,385118,22099,20702,44324,114283,155792,9020,5797,135827,4674,1090,1357,42028,3664004,1087631,559445,12629328,28214799,7953601,7554465,141237164,39978648,10640946,9665408,166913751, , , , ,8983362,890166,352218,12309209,Cifras definitivas
4641,Comercio al por menor de artículos para el cuidado de la salud,2013,102,35,45,107,99943,1518,137882,168554,21685,27464,97041,163562480,65887,22275,572534,1765157,4604298,2788079,1514344,805091,222660,9037278,313104,367984,2149340,225314662,144272,64197,309475,324612,1041541,112,26,22,2,159,3812817,9022626,2956726,1996553,4746243,345110,241437,44191,73880,309889,385118,22099,20702,44324,114283,155792,9020,5797,135827,4674,1090,1357,42028,3664004,1087631,559445,12629328,28214799,7953601,7554465,141237164,39978648,10640946,9665408,166913751, , , , ,8983362,890166,352218,12309209,Cifras definitivas
