CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,H300A,H010A,H000B,H000C,I000B,I000C,Q100A,Q200A,Q300A,Q400A,Q900A,M100A,M200A,M500A,M971A,M999A,J000A,J000B,J000C,H000D,H000E,I000D,I000E,EMPRESA_MICRO,EMPRESA_PEQUE,EMPRESA_MED,EMPRESA_GRA,K100A,K200A,K310A,K421A,K412A,K500A,K610A,K620A,K640A,K810A,K820A,K910A,K999A,Q100C,Q200C,Q300C,Q400C,Q900C,Q100D,Q200D,Q300D,Q400D,Q900D,IND_Q000A_0_A_10_MICRO,IND_Q000A_11_A_30_PEQ,IND_Q000A_31_A_100_MED,IND_Q000A_101_A_MAS_GRA,IND_K000A_0_A_10_MICRO,IND_K000A_11_A_30_PEQ,IND_K000A_31_A_100_MED,IND_K000A_101_A_MAS_GRA,IND_M000A_0_A_10_MICRO,IND_M000A_11_A_30_PEQ,IND_M000A_31_A_100_MED,IND_M000A_101_A_MAS_GRA,IND_H000A_0_A_10_MICRO,IND_H000A_11_A_30_PEQ,IND_H000A_31_A_100_MED,IND_H000A_101_A_MAS_GRA,IND_J000A_0_A_10_MICRO,IND_J000A_11_A_30_PEQ,IND_J000A_31_A_100_MED,IND_J000A_101_A_MAS_GRA,IND_EMPRESAS_0_A_10_MICRO,IND_EMPRESAS_11_A_30_PEQ,IND_EMPRESAS_31_A_100_MED,IND_EMPRESAS_101_A_MAS_GRA,IND_I000A_0_A_10_MICRO,IND_I000A_11_A_30_PEQ,IND_I000A_31_A_100_MED,IND_I000A_101_A_MAS_GRA,ESTATUS
46,Comercio al por menor,2022,2745836,3238654,2734419,3250071,189450,131197,138774864,638405501,146680716,85887426,198347758,8520085339,43070831,51243627,18055359,56959413,461008325,244282298,216726027,7071133,8340811,487446,347392,1232,662,862,1103,6326032034,16960675,,40362999,52964253,169307385,39100102,10930672,,45220502,15628721,,364244307,10389285,26187326,10980203,7359405,17810962,868867,790031,3127399,320227,967668,395026742,89965047,107187624,615916748,1113726656,728541152,1224905268,4013578487,1384386446,919560227,1370876944,5014590917,3574137,344829,327404,1738120,76257601,40415250,38754699,305580775,1949945,22176,7202,2749,65410,17095,24538,213604,Cifras preliminares
461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",2022,1510633,416571,791092,1136112,19791,3281,29609512,154723099,34846512,5500948,28307362,1116504787,1709271,78062,469988,1197139,41487545,22506440,18981105,2143869,3074678,44192,8248,261,38,76,71,816097793,1109970,,12056345,15473924,14246622,1900815,379863,,1891250,2261572,,42549083,1480434,1164105,1263335,541352,824584,106833,10342,168913,1313,6602,202457520,6528253,14605259,29396394,392641514,44378881,246056836,224889984,506863521,50227709,264494725,298373288,1751668,15646,55986,103904,22239940,1149872,5546583,12551150,981050,1053,998,423,14196,784,797,7295,Cifras preliminares
4611,Comercio al por menor de abarrotes y alimentos,2022,1432280,365027,722260,1075047,15958,1399,28234918,145111863,31639115,4450197,25887942,1010714949,1692155,48909,88174,468107,36393147,19440196,16952951,1965820,2917651,33289,3484,112,17,32,47,740404817,1076686,,11413254,14368788,11149682,997194,219423,,1319999,2023399,,39748383,1363256,1024354,1193365,530792,763445,102784,1870,143138,1139,5946,190641633,6014962,13020620,25646817,344930483,42270251,234657031,200863850,446932116,47618322,248576567,269885287,1641707,9531,50270,95799,19310295,926697,5068165,11087990,919888,589,868,399,13391,776,90,3100,Cifras preliminares
4612,"Comercio al por menor de bebidas, hielo y tabaco",2022,78353,51544,68832,61065,3833,1882,1374594,9611236,3207397,1050751,2419420,105789838,17116,29153,381814,729032,5094398,3066244,2028154,178049,157027,10903,4764,149,21,44,24,75692976,33284,,643091,1105136,3096940,903621,160440,,571251,238173,,2800700,117178,139751,69970,10560,61139,4049,8472,25775,174,656,11815887,513291,1584639,3749577,47711031,2108630,11399805,24026134,59931405,2609387,15918158,28488001,109961,6115,5716,8105,2929645,223175,478418,1463160,61162,464,130,24,805,8,707,4195,Cifras preliminares
462,Comercio al por menor en tiendas de autoservicio y departamentales,2022,48010,931490,470088,509412,77396,68895,29822885,214538580,10304879,23285544,70541531,2192453699,2640496,42980548,3109974,28415412,161797509,75831262,85966247,1200496,1297096,203167,188078,13,12,10,118,1621295643,997297,,4134381,19833870,40806736,20028487,4713551,,17229411,2570728,,134779347,3077700,14467997,1099639,2466302,9311188,264665,578850,779254,86295,207947,5265943,2736421,516469,339974576,24539435,26576482,9946800,1805326734,31808908,30439732,10913130,2196438357,82128,16302,3361,877709,2885424,1415575,368955,157127555,27721,1061,52,391,21619,48,16,124608,Cifras preliminares
4621,Comercio al por menor en tiendas de autoservicio,2022,47495,718244,374358,391381,37515,22547,24569810,147806534,6241655,12018142,55131142,1697249553,773305,36420457,2614261,20385177,121494013,57344246,64149767,968044,1009542,86739,52957,12,12,10,99,1323010428,143928,,2944772,16115688,26510632,5933124,2346386,,9750579,852268,,114506000,2811984,12147496,1006360,2257446,8753032,259538,477228,749679,86155,84415,5265775,2736421,516469,237248613,24056023,26576482,9946800,1441534498,31303629,30439732,10913130,1684786263,82123,16302,3361,663953,2881823,1415575,368955,116827660,27720,1061,52,162,21619,48,16,38379,Cifras preliminares
4622,Comercio al por menor en tiendas departamentales,2022,515,213246,95730,118031,39881,46348,5253075,66732046,4063224,11267402,15410389,495204146,1867191,6560091,495713,8030235,40303496,18487016,21816480,232452,287554,116428,135121,1,0,0,19,298285215,853369,,1189609,3718182,14296104,14095363,2367165,,7478832,1718460,,20273347,265716,2320501,93279,208856,558156,5127,101622,29575,140,123532,168,0,0,102725963,483412,0,0,363792236,505279,0,0,511652094,5,0,0,213756,3601,0,0,40299895,1,0,0,229,0,0,0,86229,Cifras preliminares
463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",2022,317031,291951,176720,432262,4759,7375,1944200,33403762,5876665,7232299,27295099,393264866,220574,2600153,2276648,1484041,30693653,11902882,18790771,459228,1087399,12604,18766,152,124,141,153,225280622,58293,,1155739,2929283,24471204,1230307,342716,,1900552,1042036,,25139980,321459,1523522,135285,848296,3154299,4798,1949,37481,11756,33544,41285223,2839799,1866339,29760664,85556322,17978714,17446899,162568819,110676169,24287321,22285872,242596920,428257,65563,12828,102334,8950370,3920031,1740770,16082482,242167,5358,202,187,2090,1140,291,8613,Cifras preliminares
4631,"Comercio al por menor de productos textiles, excepto ropa",2022,33700,28062,19189,42573,233,334,152865,5781100,1021269,600686,1770553,41836555,5330,27108,667,245505,3685533,1608075,2077458,48523,99654,581,786,45,50,32,16,28139353,3598,,210902,280135,2261881,15973,37933,,32648,86025,,1700637,6477,44997,18219,49187,97702,2515,1740,11707,4513,5984,5315239,758369,171109,3081756,7799934,8660503,4013093,12295559,9852153,10603857,4789261,16869891,39829,4858,3391,13684,763670,483675,338222,2099966,21975,323,59,16,93,293,11,170,Cifras preliminares
4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",2022,222229,195774,112511,305492,3143,5168,920467,20052253,3344529,5567859,18799303,246995444,116115,2511912,387625,1030421,18892322,6982234,11910088,290991,772664,8458,13061,47,43,69,76,134222913,52875,,735646,1899389,15727422,947786,219659,,1195610,768044,,19131925,271680,1024301,89533,533214,2745166,2283,209,23174,4853,27548,24180061,1525084,1461145,21518129,63510757,5277777,8915499,97197267,80463131,8798661,12126931,149652799,305895,53770,5833,52505,6080315,2869717,939708,9002582,179636,4608,69,76,693,59,128,7431,Cifras preliminares
